FROM_STATION,TO_STATION,FLOW
长岭陂站,塘尾站,7
长岭陂站,水贝站,29
长岭陂站,深康站,5
长岭陂站,清湖站,313
长岭陂站,深大站,12
长岭陂站,深圳北站,310
长岭陂站,水湾站,6
长岭陂站,湾厦站,4
长岭陂站,爱联站,31
长岭陂站,田贝站,22
长岭陂站,燕南站,8
长岭陂站,灵芝站,146
长岭陂站,留仙洞站,99
长岭陂站,海月站,10
长岭陂站,洪浪北站,116
长岭陂站,永湖站,13
长岭陂站,海上世界站,4
长岭陂站,机场东站,27
长岭陂站,新秀站,12
长岭陂站,晒布站,23
长岭陂站,桃园站,34
长岭陂站,景田站,6
长岭陂站,杨美站,214
长岭陂站,木棉湾站,49
长岭陂站,岗厦北站,9
长岭陂站,宝安中心站,46
长岭陂站,宝华站,25
长岭陂站,大学城站,131
长岭陂站,大剧院站,51
长岭陂站,塘朗站,68
长岭陂站,通新岭站,11
长岭陂站,吉祥站,19
长岭陂站,塘坑站,44
长岭陂站,南联站,23
长岭陂站,双龙站,47
长岭陂站,大新站,34
长岭陂站,后海站,14
长岭陂站,莲花西站,1
长岭陂站,莲花村站,11
长岭陂站,翠竹站,12
长岭陂站,荷坳站,25
长岭陂站,老街站,30
长岭陂站,莲花北站,49
长岭陂站,翻身站,103
长岭陂站,红树湾站,2
长岭陂站,罗湖站,16
长岭陂站,白石龙站,69
长岭陂站,百鸽笼站,68
长岭陂站,白石洲站,3
长岭陂站,华侨城站,1
长岭陂站,丹竹头站,105
长岭陂站,东角头站,6
长岭陂站,下水径站,145
长岭陂站,前海湾站,13
长岭陂站,侨城东站,11
长岭陂站,湖贝站,9
长岭陂站,华强北站,11
长岭陂站,世界之窗站,10
长岭陂站,侨城北站,3
长岭陂站,六约站,111
长岭陂站,会展中心站,56
长岭陂站,侨香站,3
长岭陂站,兴东站,129
长岭陂站,华新站,16
长岭陂站,五和站,1071
长岭陂站,上水径站,176
长岭陂站,国贸站,12
长岭陂站,固戍站,61
