FROM_STATION,TO_STATION,FLOW
西丽湖站,龙胜站,23
龙井站,科苑站,85
华强路站,沙尾站,61
茶光站,长龙站,46
桃源村站,登良站,168
黄贝岭站,南山站,329
沙尾站,大运站,44
农林站,桃园站,32
龙胜站,洪湖站,41
龙华站,后亭站,27
上沙站,布吉站,74
龙城广场站,银湖站,13
皇岗村站,固戍站,16
珠光站,莲花北站,11
皇岗村站,后瑞站,2
黄贝岭站,宝安站,38
上沙站,市民中心站,151
华强路站,上沙站,93
桃源村站,留仙洞站,146
龙井站,科学馆站,21
沙尾站,大芬站,105
深云站,海月站,16
龙华站,松岗站,51
龙胜站,笋岗站,112
龙城广场站,孖岭站,13
农林站,杨美站,36
茶光站,长岭陂站,12
西丽湖站,龙城广场站,3
珠光站,荷坳站,16
皇岗口岸站,兴东站,17
黄贝岭站,碧海湾站,100
桃源村站,田贝站,36
皇岗村站,后海站,74
皇岗口岸站,六约站,24
龙井站,福田站,79
茶光站,车公庙站,424
龙胜站,红岭北站,306
华强路站,农林站,42
沙尾站,大新站,116
农林站,机场东站,5
龙城广场站,梅村站,9
西丽湖站,龙华站,25
上沙站,岗厦站,199
深云站,海上世界站,17
珠光站,老街站,72
龙华站,碧头站,29
珠光站,翻身站,151
沙尾站,大学城站,96
西丽湖站,黄贝岭站,28
农林站,木棉湾站,47
黄贝岭站,机场站,201
龙井站,福田口岸站,26
皇岗村站,通新岭站,26
龙华站,文锦站,30
皇岗口岸站,侨香站,22
龙城广场站,下梅林站,21
上沙站,岗厦北站,80
龙胜站,八卦岭站,121
茶光站,赤湾站,4
深云站,洪浪北站,17
华强路站,深云站,6
桃源村站,爱联站,9
龙城广场站,深湾站,1
桃源村站,碧头站,3
红树湾南站,世界之窗站,13
龙井站,碧海湾站,16
上沙站,农林站,591
红岭北站,大新站,39
皇岗村站,车公庙站,325
笋岗站,后海站,121
农林站,红岭北站,115
赤尾站,田贝站,258
沙尾站,龙华站,308
洪湖站,六约站,35
华强南站,海上世界站,2
黄木岗站,机场东站,5
八卦岭站,岗厦站,35
深云站,梅村站,6
农林站,红树湾南站,2
黄木岗站,横岗站,66
皇岗村站,草埔站,27
上沙站,皇岗村站,260
笋岗站,国贸站,68
八卦岭站,布心站,91
沙尾站,华强路站,34
红岭北站,太安站,296
赤尾站,白石洲站,30
桃源村站,沙井站,22
洪湖站,华侨城站,4
深云站,泥岗站,5
华强南站,深大站,14
洪湖站,前海湾站,2
红树湾南站,湖贝站,3
深云站,银湖站,3
八卦岭站,布吉站,180
龙井站,南山站,47
华强南站,深圳北站,153
沙尾站,龙胜站,285
上沙站,沙尾站,331
皇岗村站,长龙站,24
红岭北站,大运站,41
赤尾站,登良站,36
桃源村站,后亭站,12
黄木岗站,桃园站,32
农林站,洪湖站,50
笋岗站,固戍站,25
华强南站,清湖站,147
农林站,深圳湾公园站,59
赤尾站,百鸽笼站,64
沙尾站,茶光站,228
洪湖站,华新站,138
黄木岗站,民治站,43
红岭北站,宝体站,10
桃源村站,塘尾站,9
红树湾南站,五和站,14
皇岗村站,香蜜湖站,8
笋岗站,坪洲站,27
八卦岭站,新安站,5
深云站,红岭南站,2
皇岗村站,香梅北站,11
沙尾站,西丽湖站,128
农林站,深湾站,7
笋岗站,坂田站,193
上沙站,皇岗口岸站,271
洪湖站,华强北站,316
八卦岭站,怡景站,133
赤尾站,白石龙站,139
华强南站,深康站,18
黄木岗站,民乐站,19
深云站,园岭站,9
红树湾南站,丹竹头站,10
红岭北站,安托山站,15
桃源村站,马安山站,13
黄木岗站,景田站,50
赤尾站,燕南站,281
皇岗村站,购物公园站,88
农林站,黄木岗站,134
上沙站,桃源村站,149
八卦岭站,少年宫站,87
沙尾站,鲤鱼门站,82
深云站,梅景站,16
笋岗站,吉祥站,61
红岭北站,大剧院站,17
桃源村站,向西村站,19
洪湖站,侨城北站,16
华强南站,永湖站,16
红树湾南站,上水径站,1
深云站,下梅林站,18
黄木岗站,木棉湾站,92
八卦岭站,岗厦北站,73
沙尾站,黄贝岭站,167
笋岗站,通新岭站,84
洪湖站,侨香站,13
上沙站,深云站,58
农林站,八卦岭站,79
赤尾站,爱联站,18
华强南站,洪浪北站,35
红岭北站,大学城站,25
皇岗村站,赤湾站,5
红树湾南站,下水径站,5
龙井站,机场站,18
桃源村站,文锦站,3
华强南站,水湾站,62
沙尾站,香蜜站,26
洪湖站,会展中心站,60
皇岗村站,西丽站,96
上沙站,珠光站,221
农林站,赤尾站,174
深云站,下沙站,53
黄木岗站,新秀站,22
笋岗站,南联站,67
龙井站,桥头站,16
桃源村站,鹿丹村站,6
红岭北站,塘坑站,86
赤尾站,湾厦站,21
八卦岭站,宝华站,3
红树湾南站,上塘站,8
洪湖站,侨城东站,7
上沙站,龙井站,133
赤尾站,灵芝站,42
沙尾站,高新园站,503
深云站,香梅站,29
农林站,华强南站,133
红树湾南站,上梅林站,31
皇岗村站,西乡站,10
八卦岭站,宝安中心站,19
红岭北站,塘朗站,24
黄木岗站,晒布站,63
笋岗站,双龙站,113
龙井站,福永站,22
华强南站,水贝站,23
桃源村站,人民南站,6
龙井站,后亭站,13
笋岗站,前海湾站,10
沙尾站,长龙站,78
深云站,洪湖站,9
黄木岗站,布吉站,145
赤尾站,深圳北站,393
珠光站,南山站,100
农林站,沙尾站,721
桃源村站,银湖站,3
上沙站,龙胜站,132
洪湖站,湖贝站,19
八卦岭站,大运站,32
红岭北站,固戍站,39
华强南站,桃园站,13
珠光站,宝安站,4
沙尾站,长岭陂站,5
赤尾站,海月站,31
龙井站,松岗站,14
农林站,上沙站,573
红岭北站,后瑞站,5
八卦岭站,大芬站,155
笋岗站,兴东站,27
华强南站,杨美站,65
上沙站,龙城广场站,32
黄木岗站,市民中心站,28
下沙站,华强南站,98
文锦站,上梅林站,176
梅景站,高新园站,241
香梅站,龙井站,42
人民南站,双龙站,26
向西村站,侨城东站,2
下梅林站,西乡站,14
鹿丹村站,塘朗站,7
人民南站,南联站,11
向西村站,会展中心站,11
梅景站,香蜜站,38
香梅站,珠光站,69
下梅林站,西丽站,51
下沙站,赤尾站,157
文锦站,上塘站,14
鹿丹村站,塘坑站,18
人民南站,后瑞站,2
下梅林站,长岭陂站,6
香梅站,上沙站,160
下沙站,笋岗站,164
鹿丹村站,大芬站,21
向西村站,兴东站,5
梅景站,龙城广场站,18
文锦站,世界之窗站,3
下沙站,红岭北站,366
下梅林站,车公庙站,743
梅景站,龙华站,203
香梅站,农林站,121
向西村站,六约站,28
人民南站,后海站,16
鹿丹村站,大新站,4
鹿丹村站,大学城站,3
梅景站,黄贝岭站,105
香梅站,深云站,20
文锦站,下水径站,4
下梅林站,赤湾站,8
下沙站,八卦岭站,80
向西村站,侨香站,9
人民南站,通新岭站,27
向西村站,侨城北站,1
鹿丹村站,大剧院站,3
文锦站,上水径站,1
人民南站,吉祥站,8
下沙站,黄木岗站,61
香梅站,桃源村站,108
梅景站,鲤鱼门站,36
下梅林站,购物公园站,138
向西村站,湖贝站,1
人民南站,前海湾站,1
鹿丹村站,固戍站,4
梅景站,长龙站,44
下沙站,沙尾站,767
香梅站,龙胜站,72
梅景站,长岭陂站,1
人民南站,兴东站,4
向西村站,东角头站,7
香梅站,龙城广场站,11
下沙站,上沙站,195
鹿丹村站,后瑞站,3
梅景站,香梅北站,37
人民南站,华强北站,28
向西村站,丹竹头站,114
下沙站,皇岗口岸站,85
鹿丹村站,坂田站,18
香梅站,西丽湖站,24
人民南站,华侨城站,1
下沙站,皇岗村站,129
梅景站,草埔站,30
鹿丹村站,国贸站,4
香梅站,华强路站,23
鹿丹村站,坪洲站,7
香梅站,茶光站,36
人民南站,华新站,39
向西村站,五和站,16
梅景站,香蜜湖站,29
向西村站,上塘站,27
下沙站,珠光站,246
梅景站,西丽站,74
香梅站,香蜜站,56
人民南站,会展中心站,11
鹿丹村站,南联站,14
向西村站,上水径站,4
鹿丹村站,吉祥站,17
人民南站,侨城北站,2
梅景站,购物公园站,128
下沙站,桃源村站,207
香梅站,鲤鱼门站,15
人民南站,侨城东站,2
向西村站,上梅林站,215
下沙站,龙井站,101
香梅站,高新园站,59
梅景站,西乡站,17
鹿丹村站,双龙站,26
下沙站,农林站,296
梅景站,车公庙站,988
人民南站,六约站,13
香梅站,龙华站,69
鹿丹村站,后海站,10
向西村站,世界之窗站,11
人民南站,侨香站,8
鹿丹村站,通新岭站,29
香梅站,黄贝岭站,81
向西村站,下水径站,12
下沙站,深云站,36
梅景站,赤湾站,16
松岗站,机场东站,2
文锦站,田贝站,4
马安山站,后海站,492
梅村站,碧海湾站,50
向西村站,福田站,26
孖岭站,碧头站,5
红岭南站,龙华站,80
沙井站,大新站,216
后亭站,岗厦站,39
泥岗站,红岭北站,381
人民南站,老街站,48
园岭站,农林站,60
碧头站,海上世界站,22
银湖站,梅村站,68
塘尾站,六约站,10
人民南站,翻身站,4
马安山站,通新岭站,16
文锦站,爱联站,16
沙井站,大学城站,79
梅村站,机场站,64
孖岭站,文锦站,120
银湖站,下梅林站,92
松岗站,木棉湾站,30
泥岗站,八卦岭站,62
后亭站,岗厦北站,17
园岭站,深云站,10
向西村站,福田口岸站,20
红岭南站,黄贝岭站,5
碧头站,洪浪北站,34
塘尾站,侨香站,8
碧头站,永湖站,7
园岭站,桃源村站,37
向西村站,福民站,30
银湖站,梅景站,100
松岗站,景田站,102
泥岗站,黄木岗站,199
人民南站,翠竹站,14
孖岭站,向西村站,115
沙井站,大剧院站,154
塘尾站,侨城北站,22
马安山站,吉祥站,6
后亭站,少年宫站,25
人民南站,罗湖站,1
园岭站,龙井站,9
碧头站,水贝站,7
红岭南站,高新园站,2
后亭站,宝安中心站,47
泥岗站,华强南站,210
向西村站,石厦站,37
水贝站,蛇口港站,6
深康站,坪洲站,8
清湖站,深康站,25
深大站,红山站,201
深康站,白石龙站,9
深圳北站,莲花西站,90
深康站,百鸽笼站,1
深大站,红岭站,97
深圳北站,蛇口港站,124
深康站,益田站,67
清湖站,湾厦站,44
深大站,红树湾站,47
清湖站,登良站,170
深大站,莲花北站,125
深康站,科苑站,169
深康站,科学馆站,10
清湖站,留仙洞站,382
深大站,荷坳站,31
深大站,莲花西站,69
清湖站,白石龙站,1140
深康站,红山站,6
深康站,竹子林站,139
清湖站,白石洲站,187
深大站,莲花村站,77
深大站,翠竹站,179
清湖站,燕南站,201
深康站,福民站,18
清湖站,灵芝站,481
深康站,石厦站,29
深大站,罗湖站,367
深康站,福田站,146
深大站,老街站,440
清湖站,田贝站,124
深大站,翻身站,823
深康站,福田口岸站,17
清湖站,爱联站,47
清湖站,百鸽笼站,153
深康站,红岭站,11
深大站,蛇口港站,29
深康站,罗湖站,17
清湖站,石厦站,448
深康站,红树湾站,31
清湖站,益田站,305
深康站,蛇口港站,16
清湖站,红岭站,159
深康站,莲花西站,68
清湖站,红山站,1157
清湖站,竹子林站,318
深康站,莲花村站,12
深康站,莲花北站,6
清湖站,科苑站,436
清湖站,科学馆站,589
清湖站,福田站,549
深康站,老街站,9
深康站,翻身站,4
清湖站,福田口岸站,1594
深康站,翠竹站,20
清湖站,福民站,682
清湖站,红树湾站,25
清湖站,翠竹站,228
清湖站,罗湖站,536
清湖站,老街站,863
清湖站,翻身站,331
清湖站,莲花北站,923
清湖站,荷坳站,44
清湖站,莲花西站,179
清湖站,莲花村站,149
清湖站,蛇口港站,66
水湾站,香梅北站,45
湾厦站,丹竹头站,33
水湾站,香蜜湖站,31
湾厦站,五和站,56
水湾站,长岭陂站,1
湾厦站,东角头站,238
水湾站,车公庙站,202
湾厦站,世界之窗站,237
湾厦站,临海站,6
水湾站,草埔站,32
湾厦站,湖贝站,51
水湾站,长龙站,31
水湾站,西乡站,39
湾厦站,上梅林站,35
水湾站,西丽站,136
湾厦站,上塘站,26
水湾站,赤湾站,195
湾厦站,下水径站,12
水湾站,购物公园站,104
湾厦站,上水径站,6
爱联站,宝体站,5
田贝站,坪洲站,56
燕南站,新安站,26
登良站,五和站,92
深圳北站,香蜜湖站,103
灵芝站,民治站,945
留仙洞站,华新站,32
湾厦站,清湖站,47
海月站,茶光站,25
洪浪北站,深圳湾公园站,40
水贝站,塘尾站,9
永湖站,红岭南站,16
洪浪北站,深湾站,1
爱联站,安托山站,4
登良站,丹竹头站,57
灵芝站,民乐站,121
燕南站,怡景站,236
深圳北站,香梅北站,55
